STATION_NAME,County
FRESNO YOSEMITE INTERNATIONAL CA US,Fresno
LOS ANGELES INTERNATIONAL AIRPORT CA US,Los Angeles
SANTA MARIA PUBLIC AIRPORT CA US,Santa Barbara
BAKERSFIELD AIRPORT CA US,Kern
SAN DIEGO INTERNATIONAL AIRPORT CA US,San Diego
SACRAMENTO EXECUTIVE AIRPORT CA US,Sacramento
STOCKTON METROPOLITAN AIRPORT CA US,San Joaquin
LONG BEACH DAUGHERTY FIELD CA US,Los Angeles
BISHOP AIRPORT CA US,Inyo
SAN FRANCISCO INTERNATIONAL AIRPORT CA US,San Francisco
REDDING MUNICIPAL AIRPORT CA US,Shasta
